,Topic Keywords,# of Readme,,,
0,state/york/public/governor/reform/spitzer/albany/legislator/money/campaign,80,1,,state
1,court/law/judge/case/rule/justice/legal/prison/supreme_court/decision,76,6,,national
2,tax/billion/budget/cut/cost/money/year/pay/million/care,71,13,,national
3,iraq/american/war/military/force/iraqi/government/troop/washington/leader,69,14,,global
4,drug/health/report/study/year/medical/treatment/find/agency/patient,66,2,*,national
5,united/country/states/world/nuclear/program/weapon/china/international/iran,66,0,,global
6,city/million/plan/space/mayor/bloomberg/park/york/center/site,65,12,~,state
7,long/county/island/people/project/land/live/thing/sound/westchester,62,11,~,state
8,work/people/worker/police/day/immigration/immigrant/year/man/-PRON-,61,5,,national
9,trade/price/company/market/high/job/year/economic/american/economy,56,7,*,global
10,plant/power/energy/emission/fuel/control/reduce/clean/make/technology,54,17,,national
11,election/vote/voter/party/political/candidate/democratic/state/republican/record,53,15,,national
12,school/child/high/state/student/education/make/find/problem/work,39,9,,state
13,israel/talk/government/palestinian/political/peace/hope/long/step/leader,36,10,,global
14,official/department/public/report/case/question/office/ms/fire/government,34,4,,national
15,bill/senate/house/congress/pass/senator/law/measure/committee/support,32,8,,national
16,state/year/pay/jersey/time/long/make/local/family/change,31,16,,state
17,bush/president/administration/policy/security/national/congress/white_house/americans/nation,28,3,,national
